,Fecha extrac,Enlace,Marca,Modelo,Precio,Localización,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes
9422,2023-11-20,https://www.autoscout24.es/anuncios/nissan-leaf-acenta-electrico-negro-e53184e6-85c8-462c-ad56-69d964b3410c,Nissan,Leaf,109001.0,https://maps.google.com/?q=C%2F%20CHORRILLO%2C%20295%2C%2028806%20ALCALA%20DE%20HENARES%2C%20ES,109,Prof.,Coche pequeño,Ocasión,5,España,12,60000,2016,Automático,1477.0,9.753676470588236,Negro,Negro,Tracción delantera,5,7,3,1670.2021276595744,Otros,1
9423,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-5dci-acenta-4x2-85kw-diesel-blanco-2a8c3093-fe8c-40c7-876e-e6e0affd6a18,Nissan,Qashqai,20900.0,https://maps.google.com/?q=CRTA%20DE%20MADRID%20210%2C%2036318%20VIGO%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,45000,2019,Manual,998.0,8.1,Blanco,Blanco,Tracción delantera,5,6,3,1347.0,Gasolina,12
9424,2023-11-20,https://www.autoscout24.es/anuncios/nissan-note-1-2-acenta-gasolina-blanco-f1c747d6-89b9-4996-95b2-b5b2a752817e,Nissan,Note,8699.0,https://maps.google.com/?q=CARRETERA%20FUENCARRAL%20A%20HORTALEZA%2089%20D%2C%2028050%20MADRID%2C%20ES,80,Prof.,Monovolumen,Ocasión,5,España,12,46416,2015,Manual,3217.0,15.8,Blanco,Blanco,Tracción trasera,5,6,8,1680.0,Gasolina,6
9425,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-1-5dci-acenta-diesel-4baeb19d-0b40-4334-9af2-2d24029451a0,Nissan,Juke,12727.0,https://maps.google.com/?q=Salamanca%2C%2037001%20Salamanca%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,84981,2018,Manual,3799.0,11.9,Marrón,Marrón,Tracción trasera,5,8,8,1800.0,Gasolina,10
9426,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-q-2-1-5dci-tekna-sport-4x2-18-diesel-negro-ef6c96b3-cedf-4eab-90b3-695f34b2b341,Nissan,Qashqai,10999.0,https://maps.google.com/?q=CARRETERA%20FUENCARRAL%20A%20HORTALEZA%2089%20D%2C%2028050%20MADRID%2C%20ES,110,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,146906,2013,Manual,1591.0,6.7,Negro,Negro,Tracción delantera,5,6,4,1379.0,Gasolina,5
9427,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-dci-85-kw-115-cv-e6d-acenta-diesel-blanco-e5299379-016d-46fe-a4be-3410d2799c07,Nissan,Qashqai,14590.0,https://maps.google.com/?q=Av.%20Laboral%2C%2010%2C%2028021%20MADRID%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,121549,2019,Manual,1482.0,6.7,Blanco,Blanco,Tracción delantera,5,6,4,1400.0,Gasolina,7
9428,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-5-turbodiesel-acenta-diesel-blanco-ff02a973-0837-4c11-8b9f-e46f020ad9e2,Nissan,Qashqai,16099.0,https://maps.google.com/?q=Plaza%20de%20Europa%2C%20S%2FN%20Centro%20Comercial%20Gran%20Turia%2C%20L-256%2C%20257%2C%2046014%20Valencia%2C%20ES,110,Prof.,Sedán,Ocasión,5,España,12,87875,2017,Manual,998.0,6.7,Blanco,Blanco,Tracción delantera,5,6,3,1347.0,Gasolina,8
9429,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-6dci-n-connecta-4x2-diesel-rojo-348f616a-cfa9-492b-9df1-36671323f36c,Nissan,Qashqai,13299.0,https://maps.google.com/?q=Plaza%20de%20Europa%2C%20S%2FN%20Centro%20Comercial%20Gran%20Turia%2C%20L-256%2C%20257%2C%2046014%20Valencia%2C%20ES,131,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,121040,2015,Manual,1591.0,6.7,Rojo,Rojo,Tracción delantera,5,6,4,1379.0,Gasolina,2
9430,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-2-dig-t-n-connecta-4x2-gasolina-blanco-842bd1a7-e5d3-4902-bb7b-3e65c94e1e22,Nissan,Qashqai,17900.0,https://maps.google.com/?q=CRTA%20DE%20MADRID%20210%2C%2036318%20VIGO%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,73100,2017,Manual,998.0,6.7,Blanco,Blanco,Tracción delantera,4,5,3,978.0,Gasolina,12
9431,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-3-dig-t-n-tec-4x2-103kw-gasolina-gris-ebf9ccfe-ac5e-434f-a74e-19a88441081a,Nissan,Qashqai,19728.0,https://maps.google.com/?q=AVENIDA%20DE%20DENIA%20(CENTRO%20COMERCIAL%20PLAZA%20MAR%202)%2C%2003016%20ALICANTE%2C%20ES,140,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,29594,2020,Manual,1197.0,6.7,Gris,Gris,Tracción delantera,5,5,4,1080.0,Gasolina,9
9432,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-2-dig-t-visia-4x2-gasolina-blanco-b4f4668a-1423-4d71-b5b3-c9063c4af52d,Nissan,Qashqai,14775.0,https://maps.google.com/?q=CALLE%20SIM%C3%93N%20CARPINTERO%2081%20POL%C3%8DGONO%20INDUSTRIAL%20LAS%20QUEMADAS%2C%2C%2014014%20CORDOBA%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,75659,2018,Manual,1580.0,6.7,Blanco,Blanco,Tracción delantera,5,6,4,1490.0,Gasolina,1
9433,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-ig-t-tekna-92-gasolina-f0cd7173-343b-4ea1-956b-9c6da1da2297,Nissan,Micra,15450.0,https://maps.google.com/?q=CTRA%2C%20SAN%20VICENTE%2C%202%2C%2048910%20SESTAO%2C%20ES,92,Prof.,Coche pequeño,Ocasión,5,España,24,17312,2022,Manual,1987.0,5.3,Blanco,Blanco,Tracción delantera,5,1,4,1615.0,Gasolina,5
9434,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-6dci-n-connecta-4x2-diesel-rojo-5419decf-bd79-4aa1-bd38-9c12d1aea4ba,Nissan,Qashqai,13299.0,https://maps.google.com/?q=CARRETERA%20DE%20MATARO%2010%2C%208903%20SANT%20ADRI%C3%80%20DE%20BES%C3%92S%2C%20ES,131,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,121040,2015,Manual,1580.0,1.7,Rojo,Rojo,Tracción delantera,5,6,3,1347.0,Otros,2
9435,2023-11-20,https://www.autoscout24.es/anuncios/nissan-micra-1-0-dig-t-n-sport-86kw-117-5p-gasolina-negro-18c90222-11b2-4794-a28e-0b0507d7f90c,Nissan,Micra,14105.0,https://maps.google.com/?q=Avenida%20Carlos%20Sainz%2C%2023%2C%2028914%20Legan%C3%A9s%2C%20ES,117,Prof.,Sedán,Ocasión,5,España,12,26613,2019,Manual,2494.0,5.9,Negro,Negro,Tracción a las cuatro ruedas,5,1,4,1715.0,Gasolina,2
9436,2023-11-20,https://www.autoscout24.es/anuncios/nissan-qashqai-1-5dci-n-style-4x2-85kw-diesel-rojo-db7e515a-fc03-4871-925f-8a3dc645406f,Nissan,Qashqai,16900.0,https://maps.google.com/?q=Polig.%20Comercial%20Barreiros%2C%20Calle%20A%20-%20n%C2%BA%2030%2C%2032915%20OURENSE%2C%20ES,116,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,154000,2020,Manual,998.0,1.7,Rojo,Rojo,Tracción delantera,5,6,3,1349.0,Gasolina,11
9437,2023-11-20,https://www.autoscout24.es/anuncios/nissan-juke-1-6-acenta-4x2-112-gasolina-negro-909928b3-4203-4efe-a867-363c1321014b,Nissan,Juke,118181.0,https://maps.google.com/?q=TOLEDO%2C%2045001%20TOLEDO%2C%20ES,113,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,99139,2019,Manual,2979.0,11.9,Negro,Negro,Tracción a las cuatro ruedas,5,8,6,2109.0,Gasolina,1
